feature,idx,sym,code,category,js_div,weight
gpo015,759,gpo,015,Baby Core - Diapering,0.7649083198522542,0.33724334659728206
dsl015,653,dsl,015,Baby Core - Diapering,0.30665122973192693,0.13520063028330287
sex000,1,sex,000,null,0.257030701951462,0.11332324653116942
dpo015,441,dpo,015,Baby Core - Diapering,0.15171037095503898,0.06688816409301822
cto015,17,cto,015,Baby Core - Diapering,0.1473234800594286,0.06495401103389271
gpq015,865,gpq,015,Baby Core - Diapering,0.13963778212039385,0.06156543435532218
dpq015,547,dpq,015,Baby Core - Diapering,0.10390798565523686,0.04581238811381087
dsl001,639,dsl,001,Accessory - Bag,0.07846034541594576,0.03459268094817323
cto016,18,cto,016,Baby Core - Formula,0.07016264137498741,0.030934274565056492
dpo016,442,dpo,016,Baby Core - Formula,0.06611793825274428,0.029150989978478557
dpo087,513,dpo,087,Pet - Cat Food,0.06180181365512226,0.027248037342384793
gpq017,867,gpq,017,Baby Core - Wipes,0.0614355203627943,0.027086540895641116
dpq088,620,dpq,088,Pet - Cat Supply,0.05897169438391561,0.026000255262467627
